turn,round,phase,stage,selected_speaker,selection_reason,is_direct_address
24,2,discussion,initial_framing,Bobby Herrerra,"Tie-breaker: Both Bobby Herrerra and Margaret Chun have equal urgency scores. The tie is broken by preferring a player who has contributed the fewest novel facts so far. Bobby Herrerra is among the players (Harold Chun, Bobby Herrerra, Pauline Thompson) who have contributed the fewest novel facts. Margaret Chun has not yet spoken, but she is not listed in that group. Therefore Bobby Herrerra is chosen to speak next.",False
25,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
26,2,discussion,initial_framing,Tim Kane,Tim Kane was directly addressed by Margaret Chun,True
27,2,discussion,initial_framing,Margaret Chun,Margaret Chun was directly addressed by Tim Kane,True
28,3,discussion,clue_integration,Pauline Thompson,Pauline Thompson was directly addressed by Margaret Chun,True
29,3,discussion,clue_integration,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
30,3,discussion,clue_integration,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
31,3,discussion,clue_integration,Harold Chun,"Tie-breaker: Both Tim Kane and Harold Chun have equal urgency. Harold Chun has contributed fewer novel facts so far and has not yet shared any private knowledge beyond speculation. According to the tie‑breaking rule that prefers players with the least new information, Harold Chun is the better choice to move the investigation forward.",False
32,3,discussion,clue_integration,Tim Kane,Tim Kane was directly addressed by Harold Chun,True
33,3,discussion,clue_integration,Fiona McAllister,"Tie-breaker: Fiona McAllister has not yet spoken in the discussion, making her the most silent participant among those tied for urgency. Her proposed question about Bobby’s key directly targets the opportunity to commit the murder and is likely to advance the investigation. Therefore, she should speak next.",False
34,3,discussion,clue_integration,Bobby Herrerra,Bobby Herrerra was directly addressed by Fiona McAllister,True
35,3,discussion,clue_integration,Pauline Thompson,Pauline Thompson was directly addressed by Bobby Herrerra,True
36,3,discussion,clue_integration,Margaret Chun,"Tie-breaker: Both Louis Cagliostro and Margaret Chun have not yet spoken, so they are eligible. Margaret’s question about the exact time Pauline discovered the body will provide a concrete timeline for the murder, directly narrowing the list of suspects and clarifying who could have been present at the apartment at that time. This information is more immediately useful for advancing the investigation than probing Bobby’s key possession, which only tests presence but does not establish a clear chronological anchor. Therefore, Margaret Chun should speak next.",False
37,3,discussion,clue_integration,Pauline Thompson,Pauline Thompson was directly addressed by Margaret Chun,True
38,3,discussion,clue_integration,Harold Chun,Harold Chun was directly addressed by Pauline Thompson,True
39,3,discussion,clue_integration,Bobby Herrerra,Bobby Herrerra was directly addressed by Harold Chun,True
40,3,discussion,clue_integration,Louis Cagliostro,"Louis Cagliostro has the strongest self-selection bid (3/9, reason=question)",False
41,3,discussion,clue_integration,Bobby Herrerra,Bobby Herrerra was directly addressed by Louis Cagliostro,True
42,3,discussion,clue_integration,Pauline Thompson,Pauline Thompson was directly addressed by Bobby Herrerra,True
43,3,discussion,clue_integration,Margaret Chun,"Tie-breaker: Both Margaret and Fiona have equal urgency and have not yet spoken. Margaret's proposed question seeks the precise time of the body’s discovery, which is a critical missing piece for establishing the timeline and determining who could have committed the murder. Fiona's question, while useful, would only identify whether Pauline observed the body, not when it was found. Obtaining the exact timestamp advances the investigation more directly, so Margaret is preferred.",False
44,3,discussion,clue_integration,Pauline Thompson,Pauline Thompson was directly addressed by Margaret Chun,True
45,3,discussion,clue_integration,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
46,3,discussion,clue_integration,Pauline Thompson,Pauline Thompson was directly addressed by Bobby Herrerra,True
47,3,discussion,clue_integration,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
48,4,discussion,contradiction_pressure,Fiona McAllister,Fiona McAllister was directly addressed by Bobby Herrerra,True
49,4,discussion,contradiction_pressure,Harold Chun,"Tie-breaker: Harold Chun proposes a time‑based question that directly probes whether Bobby Herrerra took the marble paperweight from Rick’s office. This question addresses the murder weapon, which has not yet been discussed by any other player, and could immediately confirm or exonerate a key suspect. While Louis Cagliostro’s question would test Bobby’s alibi, Harold’s inquiry focuses on the core evidence and therefore is likely to advance the investigation more decisively.",False
50,4,discussion,contradiction_pressure,Bobby Herrerra,Bobby Herrerra was directly addressed by Harold Chun,True
51,4,discussion,contradiction_pressure,Louis Cagliostro,"Louis Cagliostro has the strongest self-selection bid (3/9, reason=question)",False
52,4,discussion,contradiction_pressure,Bobby Herrerra,Bobby Herrerra was directly addressed by Louis Cagliostro,True
53,4,discussion,contradiction_pressure,Pauline Thompson,Pauline Thompson was directly addressed by Bobby Herrerra,True
54,4,discussion,contradiction_pressure,Margaret Chun,"Margaret Chun has the strongest self-selection bid (3/9, reason=question)",False
55,4,discussion,contradiction_pressure,Bobby Herrerra,Bobby Herrerra was directly addressed by Margaret Chun,True
56,4,discussion,contradiction_pressure,Pauline Thompson,Pauline Thompson was directly addressed by Bobby Herrerra,True
57,4,discussion,contradiction_pressure,Harold Chun,"Harold Chun has the strongest self-selection bid (4/9, reason=question)",False
58,4,discussion,contradiction_pressure,Bobby Herrerra,Bobby Herrerra was directly addressed by Harold Chun,True
59,4,discussion,contradiction_pressure,Louis Cagliostro,"Louis Cagliostro has the strongest self-selection bid (3/9, reason=contradiction)",False
60,4,discussion,contradiction_pressure,Bobby Herrerra,Bobby Herrerra was directly addressed by Louis Cagliostro,True
61,4,discussion,contradiction_pressure,Fiona McAllister,"Fiona McAllister has the strongest self-selection bid (3/9, reason=question)",False
62,4,discussion,contradiction_pressure,Tim Kane,Tim Kane was directly addressed by Fiona McAllister,True
63,4,discussion,contradiction_pressure,Margaret Chun,"Tie-breaker: All three tied players have equal urgency and have not yet shared private knowledge. The best next step is to ask Tim about the marble paperweight, as this is a new, focused question that can confirm or rule out his involvement. Margaret Chun’s plan to directly inquire whether Tim touched or took the paperweight is a clear, actionable move that will advance the investigation.",False
64,4,discussion,contradiction_pressure,Bobby Herrerra,Bobby Herrerra was directly addressed by Margaret Chun,True
65,4,discussion,contradiction_pressure,Tim Kane,Tim Kane was directly addressed by Bobby Herrerra,True
66,4,discussion,contradiction_pressure,Bobby Herrerra,Bobby Herrerra was directly addressed by Tim Kane,True
67,4,discussion,contradiction_pressure,Fiona McAllister,Fiona McAllister was directly addressed by Bobby Herrerra,True
68,5,discussion,accusation_synthesis,Tim Kane,Tim Kane was directly addressed by Fiona McAllister,True
69,5,discussion,accusation_synthesis,Harold Chun,Tie-breaker: Both Harold Chun and Pauline Thompson have not yet spoken and have equal urgency. Harold’s intended question about key usage after 9:00 directly addresses a missing fact that could implicate or eliminate a key suspect (Louis Cagliostro) and explains how the murder weapon could have moved from the office to the bathroom. This question is more likely to yield actionable information for the investigation. Therefore Harold Chun should speak next.,False
70,5,discussion,accusation_synthesis,Louis Cagliostro,Louis Cagliostro was directly addressed by Harold Chun,True
71,5,discussion,accusation_synthesis,Pauline Thompson,"Pauline Thompson has the strongest self-selection bid (3/9, reason=question)",False
72,5,discussion,accusation_synthesis,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
73,5,discussion,accusation_synthesis,Louis Cagliostro,Louis Cagliostro was directly addressed by Bobby Herrerra,True
74,5,discussion,accusation_synthesis,Bobby Herrerra,Bobby Herrerra was directly addressed by Louis Cagliostro,True
75,5,discussion,accusation_synthesis,Harold Chun,Harold Chun was directly addressed by Bobby Herrerra,True
76,5,discussion,accusation_synthesis,Tim Kane,Tim Kane was directly addressed by Harold Chun,True
77,5,discussion,accusation_synthesis,Harold Chun,"Harold Chun has the strongest self-selection bid (3/9, reason=question)",False
78,5,discussion,accusation_synthesis,Fiona McAllister,"Fiona McAllister has the strongest self-selection bid (3/9, reason=question)",False
79,5,discussion,accusation_synthesis,Tim Kane,Tim Kane was directly addressed by Fiona McAllister,True
80,5,discussion,accusation_synthesis,Margaret Chun,Margaret Chun was directly addressed by Tim Kane,True
81,5,discussion,accusation_synthesis,Bobby Herrerra,"Tie-breaker: Both Pauline and Bobby have not yet spoken, but Bobby’s question would directly address the missing marble paperweight and the possibility of key usage, which is a critical missing piece of opportunity. Pauline’s question would confirm Bobby’s presence but would not uncover new evidence about the items. Prioritizing new evidence about the marble paperweight, Bobby is chosen to speak next.",False
82,5,discussion,accusation_synthesis,Harold Chun,Harold Chun was directly addressed by Bobby Herrerra,True
83,5,discussion,accusation_synthesis,Louis Cagliostro,"Louis Cagliostro has the strongest self-selection bid (3/9, reason=question)",False
84,5,discussion,accusation_synthesis,Harold Chun,Harold Chun was directly addressed by Louis Cagliostro,True
85,5,discussion,accusation_synthesis,Pauline Thompson,Pauline Thompson was directly addressed by Harold Chun,True
86,5,discussion,accusation_synthesis,Bobby Herrerra,Bobby Herrerra was directly addressed by Pauline Thompson,True
87,5,discussion,accusation_synthesis,Margaret Chun,Margaret Chun was directly addressed by Bobby Herrerra,True
