turn,round,phase,speaker,target,response_to_speaker,is_direct_target,is_question,is_followup_question,is_justification_request,is_pressure_signal,is_mention,text
31,3,discussion,Bobby Herrerra,Pauline Thompson,Harold Chun,True,True,False,False,False,True,"No, I didn't see anyone in the bathroom after Rick left. Pauline, did you have the bathroom key after 8:15?"
33,3,discussion,Fiona McAllister,Bobby Herrerra,,True,True,True,False,False,True,"Bobby, after you left the bar, did you see Rick or anyone else in the apartment?"
34,3,discussion,Bobby Herrerra,Louis Cagliostro,Fiona McAllister,True,True,False,False,False,True,"No, I didn't see Rick or anyone else in the apartment after I left the bar—I went straight home. Louis, did you have the bathroom key after 8:15?"
35,3,discussion,Louis Cagliostro,Tim Kane,Bobby Herrerra,True,True,False,False,False,True,"Tim, did you have the bathroom key after 8:15?"
37,3,discussion,Margaret Chun,Harold Chun,,True,True,False,False,False,True,"Harold, did you go to the bathroom after leaving the party at 8:15?"
38,3,discussion,Harold Chun,Tim Kane,Margaret Chun,True,True,True,False,False,True,"No, I didn’t go to the bathroom after leaving the party. Tim, did you see anyone else in the apartment after you entered the front gate?"
40,3,discussion,Harold Chun,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, did you take the bathroom key with you when you left the party at 8:45?"
42,3,discussion,Pauline Thompson,Tim Kane,,True,True,True,False,False,True,"Tim, did you have the bathroom key after Rick left?"
44,3,discussion,Margaret Chun,Harold Chun,,True,True,False,False,False,True,"Harold, did you take the bathroom key with you when you left the party at 8:15?"
45,3,discussion,Harold Chun,Louis Cagliostro,Margaret Chun,True,True,False,False,False,True,"No, I didn’t take the bathroom key when I left the party at 8:15. Louis, did you have the bathroom key after 8:15?"
46,3,discussion,Louis Cagliostro,Bobby Herrerra,Harold Chun,False,False,False,False,False,True,"No, I didn’t have the key. I was still in the lounge with Bobby until about 8:45."
47,4,discussion,Fiona McAllister,Bobby Herrerra,,True,True,False,False,False,True,"Bobby, where were you after 9:07?"
48,4,discussion,Bobby Herrerra,Pauline Thompson,Fiona McAllister,True,True,False,False,False,True,"I was at the bar with a friend, left the party around 8:45, and went straight home. Pauline, did you have the bathroom key after 8:15?"
50,4,discussion,Bobby Herrerra,Harold Chun,,True,True,False,False,False,True,"Harold, did you hand the bathroom key to anyone after 8:15?"
51,4,discussion,Harold Chun,Margaret Chun,Bobby Herrerra,True,True,False,False,False,True,"No, I didn't hand it to anyone after 8:15. Margaret, did you have the key after you left the apartment?"
52,4,discussion,Margaret Chun,Tim Kane,Harold Chun,True,True,False,False,False,True,"No, I didn’t have it. Tim, did you have the bathroom key after 8:15?"
54,4,discussion,Fiona McAllister,Pauline Thompson,,True,True,False,False,False,True,"Pauline, did you ever go into Rick’s office before 8:00?"
56,4,discussion,Bobby Herrerra,Louis Cagliostro,,True,True,False,False,False,True,"Louis, did you have the bathroom key after 8:15?"
57,4,discussion,Louis Cagliostro,Tim Kane,Bobby Herrerra,True,True,False,False,False,True,"No, I didn’t have the key. Tim, did you see the marble paperweight missing from Rick’s office?"
59,4,discussion,Margaret Chun,Harold Chun,,True,True,False,False,False,True,"Harold, did you have Rick's office key after you left the party at 8:15?"
60,4,discussion,Harold Chun,Pauline Thompson,Margaret Chun,True,True,False,False,False,True,"No, I didn't. Pauline, did you have Rick's office key after 8:15?"
62,4,discussion,Fiona McAllister,Pauline Thompson,,True,True,True,False,False,True,"Pauline, did you take the marble paperweight from Rick’s office after 8:15?"
64,4,discussion,Bobby Herrerra,Louis Cagliostro,,True,True,False,False,False,True,"Louis, did you have the bathroom key after 8:15?"
65,4,discussion,Louis Cagliostro,Bobby Herrerra,Bobby Herrerra,False,False,False,False,False,True,"No, I didn’t. I was in the lounge with Bobby until about 8:45 and left the key in the common area. I saw the marble paperweight still in Rick’s office at 8:00."
66,4,discussion,Margaret Chun,Harold Chun,,True,True,False,False,False,True,"Harold, did you have Rick's office key after you left the party at 8:15?"
68,5,discussion,Margaret Chun,Harold Chun,,True,True,True,False,False,True,"Harold, did you have Rick's office key after you left the party at 8:15?"
69,5,discussion,Harold Chun,Pauline Thompson,Margaret Chun,True,True,False,False,False,True,"No. Pauline, after you handed the key back to Rick at 8:45, did you see the marble paperweight still in the office?"
70,5,discussion,Pauline Thompson,Fiona McAllister,Harold Chun,True,True,False,False,False,True,"No, I didn't see it. Fiona, did you have the bathroom key after 8:15?"
71,5,discussion,Fiona McAllister,Bobby Herrerra,Pauline Thompson,True,True,False,False,False,True,"No, I didn't have the bathroom key after 8:15. Bobby, did you see a note saying “Pay up or die!” during the party?"
72,5,discussion,Bobby Herrerra,Pauline Thompson,Fiona McAllister,True,True,True,False,False,True,"No, I didn't see it. Pauline, did you see the note?"
74,5,discussion,Harold Chun,Pauline Thompson,,True,True,True,False,False,True,"Pauline, did you see the marble paperweight missing from Rick’s office after 8:15?"
76,5,discussion,Louis Cagliostro,Pauline Thompson,,True,True,True,False,False,True,"Pauline, did you see the note near the body?"
77,5,discussion,Pauline Thompson,Harold Chun,Louis Cagliostro,True,True,True,False,False,True,"No, I didn't see the note. Harold, did you have the bathroom key after 8:15?"
78,5,discussion,Harold Chun,Tim Kane,Pauline Thompson,True,True,False,False,False,True,"No, I didn't have the bathroom key after 8:15. Tim, did you see the marble paperweight missing from Rick's office after 8:15?"
80,5,discussion,Margaret Chun,Pauline Thompson,,True,True,True,False,False,True,"Pauline, did you see anyone in the bathroom after 8:45?"
81,5,discussion,Pauline Thompson,Bobby Herrerra,Margaret Chun,True,True,False,False,False,True,"No, I didn’t see anyone in the bathroom after 8:45. Bobby, did you see anyone in the bathroom after 8:45?"
83,5,discussion,Fiona McAllister,Tim Kane,,True,True,False,False,False,True,"Tim, did you have the bathroom key after 8:15?"
85,5,discussion,Bobby Herrerra,Fiona McAllister,,True,True,True,False,False,True,"Fiona, did you see the note near the body?"
86,5,discussion,Fiona McAllister,Pauline Thompson,Bobby Herrerra,True,True,False,False,False,True,"No, I didn’t see it. Pauline, did you see anyone in the bathroom after 8:45?"
